tick,pack_id,pack_ext_id,event_type,event_type_u8,from_location_id,to_location_id,from_location,to_location
488,0,pack_001,VERIFY,0,2,,loc_ph_de,—
491,0,pack_001,VERIFY,0,2,,loc_ph_de,—
494,0,pack_001,VERIFY,0,2,,loc_ph_de,—
495,0,pack_001,VERIFY,0,2,,loc_ph_de,—
496,0,pack_001,VERIFY,0,2,,loc_ph_de,—
498,0,pack_001,VERIFY,0,2,,loc_ph_de,—
499,0,pack_001,VERIFY,0,2,,loc_ph_de,—
503,0,pack_001,VERIFY,0,2,,loc_ph_de,—
504,0,pack_001,VERIFY,0,2,,loc_ph_de,—
506,0,pack_001,VERIFY,0,2,,loc_ph_de,—
508,0,pack_001,VERIFY,0,2,,loc_ph_de,—
509,0,pack_001,VERIFY,0,2,,loc_ph_de,—
510,0,pack_001,VERIFY,0,2,,loc_ph_de,—
511,0,pack_001,VERIFY,0,2,,loc_ph_de,—
513,0,pack_001,VERIFY,0,2,,loc_ph_de,—
517,0,pack_001,VERIFY,0,2,,loc_ph_de,—
525,0,pack_001,VERIFY,0,2,,loc_ph_de,—
526,0,pack_001,VERIFY,0,2,,loc_ph_de,—
528,0,pack_001,VERIFY,0,2,,loc_ph_de,—
529,0,pack_001,VERIFY,0,2,,loc_ph_de,—
531,0,pack_001,REACTIVATE,2,2,,loc_ph_de,—
532,0,pack_001,VERIFY,0,2,,loc_ph_de,—
533,0,pack_001,VERIFY,0,2,,loc_ph_de,—
534,0,pack_001,VERIFY,0,2,,loc_ph_de,—
537,0,pack_001,VERIFY,0,2,,loc_ph_de,—
538,0,pack_001,VERIFY,0,2,,loc_ph_de,—
540,0,pack_001,VERIFY,0,2,,loc_ph_de,—
541,0,pack_001,VERIFY,0,2,,loc_ph_de,—
544,0,pack_001,VERIFY,0,2,,loc_ph_de,—
547,0,pack_001,VERIFY,0,2,,loc_ph_de,—
547,0,pack_001,DECOMMISSION,1,2,,loc_ph_de,—
549,0,pack_001,VERIFY,0,2,,loc_ph_de,—
551,0,pack_001,VERIFY,0,2,,loc_ph_de,—
552,0,pack_001,VERIFY,0,2,,loc_ph_de,—
555,0,pack_001,VERIFY,0,2,,loc_ph_de,—
557,0,pack_001,VERIFY,0,2,,loc_ph_de,—
559,0,pack_001,VERIFY,0,2,,loc_ph_de,—
562,0,pack_001,VERIFY,0,2,,loc_ph_de,—
564,0,pack_001,VERIFY,0,2,,loc_ph_de,—
565,0,pack_001,VERIFY,0,2,,loc_ph_de,—
570,0,pack_001,VERIFY,0,2,,loc_ph_de,—
571,0,pack_001,VERIFY,0,2,,loc_ph_de,—
571,0,pack_001,REACTIVATE,2,2,,loc_ph_de,—
572,0,pack_001,VERIFY,0,2,,loc_ph_de,—
573,0,pack_001,VERIFY,0,2,,loc_ph_de,—
574,0,pack_001,VERIFY,0,2,,loc_ph_de,—
575,0,pack_001,VERIFY,0,2,,loc_ph_de,—
575,0,pack_001,DECOMMISSION,1,2,,loc_ph_de,—
577,0,pack_001,VERIFY,0,2,,loc_ph_de,—
579,0,pack_001,VERIFY,0,2,,loc_ph_de,—
580,0,pack_001,VERIFY,0,2,,loc_ph_de,—
581,0,pack_001,VERIFY,0,2,,loc_ph_de,—
582,0,pack_001,VERIFY,0,2,,loc_ph_de,—
587,0,pack_001,VERIFY,0,2,,loc_ph_de,—
588,0,pack_001,VERIFY,0,2,,loc_ph_de,—
591,0,pack_001,VERIFY,0,2,,loc_ph_de,—
595,0,pack_001,VERIFY,0,2,,loc_ph_de,—
596,0,pack_001,VERIFY,0,2,,loc_ph_de,—
598,0,pack_001,VERIFY,0,2,,loc_ph_de,—
599,0,pack_001,VERIFY,0,2,,loc_ph_de,—
600,0,pack_001,VERIFY,0,2,,loc_ph_de,—
607,0,pack_001,VERIFY,0,2,,loc_ph_de,—
608,0,pack_001,VERIFY,0,2,,loc_ph_de,—
610,0,pack_001,VERIFY,0,2,,loc_ph_de,—
611,0,pack_001,VERIFY,0,2,,loc_ph_de,—
613,0,pack_001,VERIFY,0,2,,loc_ph_de,—
618,0,pack_001,VERIFY,0,2,,loc_ph_de,—
619,0,pack_001,VERIFY,0,2,,loc_ph_de,—
620,0,pack_001,VERIFY,0,2,,loc_ph_de,—
623,0,pack_001,VERIFY,0,2,,loc_ph_de,—
625,0,pack_001,VERIFY,0,2,,loc_ph_de,—
627,0,pack_001,VERIFY,0,2,,loc_ph_de,—
630,0,pack_001,VERIFY,0,2,,loc_ph_de,—
632,0,pack_001,VERIFY,0,2,,loc_ph_de,—
636,0,pack_001,VERIFY,0,2,,loc_ph_de,—
638,0,pack_001,VERIFY,0,2,,loc_ph_de,—
639,0,pack_001,VERIFY,0,2,,loc_ph_de,—
641,0,pack_001,VERIFY,0,2,,loc_ph_de,—
642,0,pack_001,VERIFY,0,2,,loc_ph_de,—
642,0,pack_001,REACTIVATE,2,2,,loc_ph_de,—
644,0,pack_001,VERIFY,0,2,,loc_ph_de,—
647,0,pack_001,VERIFY,0,2,,loc_ph_de,—
648,0,pack_001,DECOMMISSION,1,2,,loc_ph_de,—
650,0,pack_001,VERIFY,0,2,,loc_ph_de,—
654,0,pack_001,VERIFY,0,2,,loc_ph_de,—
656,0,pack_001,VERIFY,0,2,,loc_ph_de,—
664,0,pack_001,VERIFY,0,2,,loc_ph_de,—
666,0,pack_001,VERIFY,0,2,,loc_ph_de,—
668,0,pack_001,VERIFY,0,2,,loc_ph_de,—
669,0,pack_001,VERIFY,0,2,,loc_ph_de,—
670,0,pack_001,VERIFY,0,2,,loc_ph_de,—
671,0,pack_001,VERIFY,0,2,,loc_ph_de,—
672,0,pack_001,VERIFY,0,2,,loc_ph_de,—
676,0,pack_001,VERIFY,0,2,,loc_ph_de,—
677,0,pack_001,VERIFY,0,2,,loc_ph_de,—
678,0,pack_001,VERIFY,0,2,,loc_ph_de,—
679,0,pack_001,VERIFY,0,2,,loc_ph_de,—
680,0,pack_001,VERIFY,0,2,,loc_ph_de,—
681,0,pack_001,VERIFY,0,2,,loc_ph_de,—
682,0,pack_001,VERIFY,0,2,,loc_ph_de,—
683,0,pack_001,VERIFY,0,2,,loc_ph_de,—
684,0,pack_001,VERIFY,0,2,,loc_ph_de,—
685,0,pack_001,VERIFY,0,2,,loc_ph_de,—
686,0,pack_001,VERIFY,0,2,,loc_ph_de,—
687,0,pack_001,VERIFY,0,2,,loc_ph_de,—
688,0,pack_001,VERIFY,0,2,,loc_ph_de,—
689,0,pack_001,VERIFY,0,2,,loc_ph_de,—
695,0,pack_001,VERIFY,0,2,,loc_ph_de,—
696,0,pack_001,VERIFY,0,2,,loc_ph_de,—
698,0,pack_001,VERIFY,0,2,,loc_ph_de,—
699,0,pack_001,VERIFY,0,2,,loc_ph_de,—
